user_name,user_url,comment
Heuchler-海,http://p4.music.126.net/3_BDI84xN0-2rOB4r7QOKA==/109951164081165078.jpg,一直都在期待一个更好的结局，期待David幡然醒悟，卸下义体带着Lucy远走高飞，在亚当重锤扣下扳机的一瞬我也在期待所谓的反转和he，但这是夜之城，是那个吃人不吐骨头的夜之城
夜猫型yuKi,http://p3.music.126.net/hwzbqOdycfZWyQNVmZxx_Q==/109951165450533508.jpg,我应该是最早听到这首歌的一批人，毕竟是这部电影的Staff。从最早听说要去新海诚身边帮忙，到最后项目结束时的试映会和庆功宴，我在的这四个月真的过得太快了。最后的一个月开始有人直接住在工作室了，总之就是每天都在和时间赛跑。真的很难忘，纪念一下。希望下部作品还叫我过去。
34二羟基苯乙胺,http://p4.music.126.net/aaAE3-5PtUTmKyoB_vyg-g==/109951165254661939.jpg,下午点开界面属实震惊了，原本优雅的三人音乐会变成了黑白的孤独，同样的bgm却能感觉到别样的凄凉[心碎]
添零Twilight,http://p3.music.126.net/hUAP-l9Tbt-ZBmWEyqgvXQ==/109951165056814109.jpg,我超，竟是这首。零八，便在等待。杀塔，重要事项。好听，大群高兴。
涵的忧伤,http://p4.music.126.net/MxbnOWLpr0LBtLJulTDKhg==/109951168653341844.jpg,希望我们冰释前嫌 再也不相见
