artist_id,artist_name,img_url
12474875,Andrew Davenport,https://p2.music.126.net/6y-UleORITEDbvrOLV0Q8A==/5639395138885805.jpg
38883,Max Richter,https://p1.music.126.net/QanTQirNm-AgEcInKOB0vw==/109951164333066717.jpg
11991120,In Love With A Ghost,https://p1.music.126.net/97rpdy-OF4zEWV1GX0XD4A==/1376588567519113.jpg
1050241,Sophis,https://p1.music.126.net/Vuqiudwxon04lVtsjQAY1w==/109951167157835888.jpg
63706,Kina Grannis,https://p2.music.126.net/zV0kpm5T2ze84eVILsQGUQ==/109951163610131733.jpg
46269147,时空储蓄罐,https://p1.music.126.net/bRj7m2aTGL_ZDLJnCD9PNg==/109951165806019769.jpg
1158119,Leo1Bee,https://p1.music.126.net/eOqyZ6yCw8uRfwiqoK9Tcw==/109951168171192085.jpg
16692,梶浦由記,https://p2.music.126.net/k2ie9Zb5UEHa6sMdG8Sejw==/109951163998204341.jpg
13773,小瀬村晶,https://p2.music.126.net/f_3CchKUNRtLufBZ0chsVQ==/109951168274705988.jpg
31181589,N.K.杨凯,https://p1.music.126.net/gmnYJX8IjD1OSs3fPu8xdg==/109951165284783510.jpg
