artist_id,artist_name,img_url
33603866,赵大鼾,https://p2.music.126.net/eZdoiSsvtMKqN52X1cI9aA==/109951167548173584.jpg
21876,TWO-MIX,https://p1.music.126.net/iGadZEmdblQL2lEK4R8TRQ==/109951165646180125.jpg
7890,黄龄,https://p1.music.126.net/7EL92QaoIoV6Hq5Lm2M6cg==/109951164998791132.jpg
19917,IOSYS,https://p2.music.126.net/CU19K87bfRilkwilZ6lj4Q==/3297435373169649.jpg
21876,TWO-MIX,https://p1.music.126.net/iGadZEmdblQL2lEK4R8TRQ==/109951165646180125.jpg
21318,See-Saw,https://p1.music.126.net/MB2pQma0YWYcpfNMc4SYyw==/109951166619804479.jpg
16038,arianne schreiber,https://p1.music.126.net/PVJGuXtQy596faBFbnSNpw==/7867005696972143.jpg
18122,宇多田ヒカル,https://p1.music.126.net/2bPjxnlTJ3NekZapBKGVaw==/109951168316299708.jpg
33927412,YOASOBI,https://p2.music.126.net/ab8rTLFv35V74OC5VzK5ng==/109951166701824746.jpg
1096011,SawanoHiroyuki[nZk],https://p1.music.126.net/1NmK1q7oHQlLlTHUVRcSSA==/109951168242301413.jpg
