tag,Count
抒情,40
悲伤,23
放松,15
憧憬,4
治愈,9
孤独,7
酒吧,3
正能量,6
热血,15
兴奋,20
快乐,5
爱情,6
浪漫,3
苦情,4
动感,6
思念,7
KTV,22
旅游,2
散步,1
夜店,1
冥想,1
可爱,2
正直,2
洒脱,2
大气,2
感人,2
梦幻,2
幸福,1
亲情,1
平静,1
