tag,Count
抒情,64
悲伤,36
放松,42
动感,57
兴奋,70
家务,11
有氧,11
通勤,2
甜蜜,13
热血,39
快乐,49
爱情,47
思念,43
浪漫,17
苦情,19
酒吧,24
轻快,29
正能量,35
幸福,4
KTV,22
咖啡厅,1
极限运动,31
慵懒,10
孤独,19
夜店,23
篮球,4
足球,4
旅游,5
驾车,2
清新,17
举铁,6
平静,3
愤怒,1
黑暗,1
激烈,5
大气,3
治愈,8
感人,2
梦幻,6
可爱,10
婚礼,3
遗憾,6
学习,4
憧憬,5
洒脱,3
舞蹈,3
正直,1
散步,1
抑郁,1
